Data Source,世界发展指标,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2017/6/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
中国,CHN,0-14岁的人口（占总人口的百分比）,SP.POP.0014.TO.ZS,39.95528387,40.01422103,40.40979686,40.91627798,41.24240551,41.29645281,41.50046202,41.37701736,41.08082613,40.82073421,40.67410756,40.71244513,40.70432127,40.64698708,40.47852954,40.14802561,39.58503759,38.90655883,38.10344839,37.18943132,36.19605295,35.03272378,33.91844963,32.84506981,31.83408899,30.93151123,30.3270544,29.84043501,29.4646438,29.14957074,28.84202303,28.86799008,28.66030929,28.33848515,28.04152358,27.80632312,27.18827173,26.76698695,26.3876314,25.84411856,25.06513264,24.20403085,23.19703051,22.09961224,21.03721073,20.08909424,19.40149351,18.74316606,18.16931103,17.72305212,17.41490533,17.20043138,17.12728993,17.15430193,17.20482569,17.23160046,17.27321268
